#,Skill code,Curriculum skill,Cat.,IXL category name,Reasoning,Step 1,Step 2,Step 3,Pipeline,Steps,Composed?,Changed in v2 re-pass
204,W.7,Mixed imperial units of length,W,Measurement,Rewrite a magnitude in another unit,Transform,,,Transform,1,Atomic,Was Transform+Measure. Same as W.2.
205,W.8,Convert between metric and imperial units of length,W,Measurement,Rewrite a magnitude in another unit,Transform,,,Transform,1,Atomic,Was Transform+Measure. Same as W.2.
206,W.9,Scale drawings: word problems,W,Measurement,Map a scaled representation to real magnitudes,Represent,Measure,,Represent -> Measure,2,Composed,"Was Represent+Measure, kept."
207,X.1,Construct an angle bisector,X,Constructions,Build a figure meeting stated conditions,Compose,,,Compose,1,Atomic,
208,X.2,Construct a congruent angle,X,Constructions,Build a figure meeting stated conditions,Compose,,,Compose,1,Atomic,
209,Y.1,Polygon vocabulary,Y,Two-dimensional figures,Name parts and categories of a structure,Identify,,,Identify,1,Atomic,
210,Y.2,Interior angles of polygons,Y,Two-dimensional figures,Apply a general rule to quantify angles,Measure,,,Measure,1,Atomic,"Was Measure+Generalize. (n-2)x180 is Measure's formula, not an act of generalization."
211,Y.3,Perimeter,Y,Two-dimensional figures,Quantify a magnitude of a figure,Measure,,,Measure,1,Atomic,
212,Y.4,Area of triangles and quadrilaterals,Y,Two-dimensional figures,Quantify a magnitude of a figure,Measure,,,Measure,1,Atomic,
213,Y.5,Area and perimeter in the coordinate plane I,Y,Two-dimensional figures,"Read a figure from coordinates, then quantify",Represent,Measure,,Represent -> Measure,2,Composed,
214,Y.6,Area and perimeter in the coordinate plane II,Y,Two-dimensional figures,"Read a figure from coordinates, then quantify",Represent,Measure,,Represent -> Measure,2,Composed,
215,Y.7,Area and circumference of circles,Y,Two-dimensional figures,Quantify a magnitude of a figure,Measure,,,Measure,1,Atomic,
216,Y.8,Area of compound figures,Y,Two-dimensional figures,"Split a figure into parts, then quantify",Decompose,Measure,Compose,Decompose -> Measure -> Compose,3,Composed,Was Decompose+Measure. Cap hid the Compose step that totals the parts.
217,Y.9,Area between two shapes,Y,Two-dimensional figures,"Split a region into parts, then quantify",Decompose,Measure,Compose,Decompose -> Measure -> Compose,3,Composed,Was Decompose+Measure. Cap hid the Compose step.
218,Y.10,Area and perimeter of similar figures,Y,Two-dimensional figures,Relate magnitudes by a scale factor,Compare,Measure,,Compare -> Measure,2,Composed,"Was Compare+Measure, kept."
219,Y.11,Identify trapezoids,Y,Two-dimensional figures,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
220,Y.12,Classify quadrilaterals,Y,Two-dimensional figures,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
221,Y.13,Graph quadrilaterals,Y,Two-dimensional figures,Move coordinates into a spatial representation,Represent,,,Represent,1,Atomic,
222,Y.14,Properties of parallelograms,Y,Two-dimensional figures,Use category properties as conditions on values,Constrain,,,Constrain,1,Atomic,Was Constrain+Identify. Using properties as conditions is Constrain.
223,Y.15,Properties of rhombuses,Y,Two-dimensional figures,Use category properties as conditions on values,Constrain,,,Constrain,1,Atomic,Was Constrain+Identify. Same as Y.14.
224,Z.1,Three-dimensional figure vocabulary,Z,Three-dimensional figures,Name parts and categories of a structure,Identify,,,Identify,1,Atomic,
225,Z.2,Parts of three-dimensional figures,Z,Three-dimensional figures,Split a solid into its named parts,Decompose,,,Decompose,1,Atomic,Was Decompose+Identify. Same as V.1.
226,Z.3,Nets and drawings of three-dimensional figures,Z,Three-dimensional figures,Unfold a solid into a planar representation,Represent,,,Represent,1,Atomic,Was Represent+Decompose. Unfolding to a net is Represent.
227,Z.4,Introduction to surface area and volume,Z,Three-dimensional figures,Quantify a magnitude of a solid,Measure,,,Measure,1,Atomic,
228,Z.5,Surface area of prisms and cylinders,Z,Three-dimensional figures,"Split into faces, then quantify and total",Decompose,Measure,Compose,Decompose -> Measure -> Compose,3,Composed,"Was Measure+Decompose. Now Decompose -> Measure -> Compose, in solving order."
229,Z.6,Surface area of pyramids and cones,Z,Three-dimensional figures,"Split into faces, then quantify and total",Decompose,Measure,Compose,Decompose -> Measure -> Compose,3,Composed,Was Measure+Decompose. Same as Z.5.
230,Z.7,Volume of prisms and cylinders,Z,Three-dimensional figures,Quantify a magnitude of a solid,Measure,,,Measure,1,Atomic,
231,Z.8,Volume of pyramids and cones,Z,Three-dimensional figures,Quantify a magnitude of a solid,Measure,,,Measure,1,Atomic,
232,Z.9,Surface area and volume of spheres,Z,Three-dimensional figures,Quantify a magnitude of a solid,Measure,,,Measure,1,Atomic,
233,Z.10,Introduction to similar solids,Z,Three-dimensional figures,Assign to a category by proportional properties,Identify,,,Identify,1,Atomic,Was Identify+Compare. Category assignment is Identify.
234,Z.11,Surface area and volume of similar solids,Z,Three-dimensional figures,Relate magnitudes by a scale factor,Compare,Measure,,Compare -> Measure,2,Composed,"Was Compare+Measure, kept."
235,Z.12,Surface area and volume review,Z,Three-dimensional figures,Quantify a magnitude of a solid,Measure,,,Measure,1,Atomic,
236,Z.13,Cross-sections of three-dimensional figures,Z,Three-dimensional figures,Slice a solid and read the resulting figure,Decompose,Represent,,Decompose -> Represent,2,Composed,"Was Decompose+Represent, kept."
237,Z.14,Solids of revolution,Z,Three-dimensional figures,Map a plane figure to a solid under an operation,Transform,Represent,,Transform -> Represent,2,Composed,"Was Transform+Represent, kept."
238,AA.1,Congruent line segments,AA,Congruent figures,Judge sameness of two magnitudes,Compare,,,Compare,1,Atomic,
239,AA.2,Congruence statements and corresponding parts,AA,Congruent figures,Match parts across two structures,Compare,,,Compare,1,Atomic,Was Compare+Identify. Matching parts is Compare.
240,AA.3,Solve problems involving corresponding parts,AA,Congruent figures,Use a matching to recover unknown values,Compare,Constrain,,Compare -> Constrain,2,Composed,"Was Constrain+Compare. Reordered: establish the matching, then solve."
241,AA.4,Identify congruent figures,AA,Congruent figures,Judge sameness of two structures,Compare,,,Compare,1,Atomic,Was Compare+Identify. Judging sameness is Compare.
242,AA.5,SSS and SAS Theorems,AA,Congruent figures,Test whether criteria establish sameness,Verify,,,Verify,1,Atomic,Was Verify+Compare. Criterion application is Verify alone.
243,AA.6,ASA and AAS Theorems,AA,Congruent figures,Test whether criteria establish sameness,Verify,,,Verify,1,Atomic,Was Verify+Compare. Same as AA.5.
244,AA.7,"SSS, SAS, ASA and AAS Theorems",AA,Congruent figures,Test whether criteria establish sameness,Verify,,,Verify,1,Atomic,Was Verify+Compare. Same as AA.5.
245,AA.8,SSS Theorem in the coordinate plane,AA,Congruent figures,"Quantify sides, then test the criterion",Measure,Verify,,Measure -> Verify,2,Composed,"Was Measure+Verify, kept."
246,AA.9,Congruency in isosceles and equilateral triangles,AA,Congruent figures,Use congruence properties as conditions,Constrain,,,Constrain,1,Atomic,Was Constrain+Verify. Using the property to find values is Constrain.
247,AA.10,Hypotenuse-Leg Theorem,AA,Congruent figures,Test whether criteria establish sameness,Verify,,,Verify,1,Atomic,Was Verify+Compare. Same as AA.5.
248,BB.1,Classify triangles,BB,Triangles,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
249,BB.2,Triangle Angle-Sum Theorem,BB,Triangles,Use a fixed total as a condition on values,Constrain,,,Constrain,1,Atomic,Was Constrain+Measure. Same as DD.1.
250,BB.3,Midsegments of triangles,BB,Triangles,Apply a general relationship to quantify,Measure,,,Measure,1,Atomic,"Was Measure+Generalize. Midsegment relationship is applied, not derived."
251,BB.4,Triangles and bisectors,BB,Triangles,Use a defining property as a condition on values,Constrain,,,Constrain,1,Atomic,Was Constrain+Measure. Same as DD.1.
252,BB.5,"Identify medians, altitudes, angle bisectors and perpendicular bisectors",BB,Triangles,Name parts by their defining properties,Identify,,,Identify,1,Atomic,
253,BB.6,Angle-side relationships in triangles,BB,Triangles,Order parts by relative magnitude,Compare,,,Compare,1,Atomic,
254,BB.7,Triangle Inequality Theorem,BB,Triangles,Test whether a condition can be satisfied,Verify,,,Verify,1,Atomic,Was Verify+Compare. The comparison is inside Verify's criterion.
255,CC.1,Identify similar figures,CC,Similarity,Judge proportional sameness of structures,Identify,,,Identify,1,Atomic,Was Identify+Compare. Similarity judgement resolves to Identify.
256,CC.2,Ratios in similar figures,CC,Similarity,Quantify the relationship between magnitudes,Compare,,,Compare,1,Atomic,Was Compare+Measure. Producing the ratio is Compare.
257,CC.3,Similarity statements,CC,Similarity,Match parts across two structures,Compare,,,Compare,1,Atomic,Was Identify+Compare. Matching corresponding parts is Compare.
258,CC.4,Side lengths and angle measures in similar figures,CC,Similarity,Use proportionality as a condition on values,Compare,Constrain,,Compare -> Constrain,2,Composed,Was Constrain+Compare. Reordered as CC.10/AA.3.
259,CC.5,Similar triangles and indirect measurement,CC,Similarity,Use proportionality to quantify an unknown,Compare,Measure,,Compare -> Measure,2,Composed,"Was Compare+Measure, kept, order made explicit."
260,CC.6,Perimeters of similar figures,CC,Similarity,Relate magnitudes by a scale factor,Compare,Measure,,Compare -> Measure,2,Composed,"Was Compare+Measure, kept."
261,CC.7,Similarity rules for triangles,CC,Similarity,Test whether criteria establish similarity,Verify,,,Verify,1,Atomic,Was Verify+Compare. Same as AA.5.
262,CC.8,Similar triangles and similarity transformations,CC,Similarity,Map one figure to another by an operation,Transform,,,Transform,1,Atomic,Was Transform+Compare. The mapping is the act; comparison is incidental.
263,CC.9,Similarity of circles,CC,Similarity,Test whether criteria establish similarity,Verify,,,Verify,1,Atomic,Was Verify+Compare. Same as AA.5.
264,CC.10,Triangle Proportionality Theorem,CC,Similarity,Use proportionality as a condition on values,Compare,Constrain,,Compare -> Constrain,2,Composed,Was Constrain+Compare. Reordered.
265,CC.11,Areas of similar figures,CC,Similarity,Relate magnitudes by a scale factor,Compare,Measure,,Compare -> Measure,2,Composed,"Was Compare+Measure, kept."
266,DD.1,Pythagorean Theorem,DD,Right triangles,Use a fixed relation to quantify an unknown side,Constrain,,,Constrain,1,Atomic,Was Constrain+Measure. The relation is Constrain's rule.
267,DD.2,Converse of the Pythagorean theorem,DD,Right triangles,Test whether a relation holds to decide a category,Verify,,,Verify,1,Atomic,
268,DD.3,Pythagorean Inequality Theorems,DD,Right triangles,Test a relation to classify a triangle,Verify,,,Verify,1,Atomic,Was Verify+Compare. Same as AA.5.
269,DD.4,Special right triangles,DD,Right triangles,Apply a known ratio pattern to quantify sides,Measure,,,Measure,1,Atomic,"Was Measure+Generalize. Special-triangle ratios are recalled, not inferred."
270,EE.1,"Trigonometric ratios: sin, cos and tan",EE,Trigonometry,Express a side relationship as a named ratio,Represent,,,Represent,1,Atomic,Was Represent+Measure. Setting up the named ratio is Represent.
271,EE.2,"Trigonometric ratios: csc, sec and cot",EE,Trigonometry,Express a side relationship as a named ratio,Represent,,,Represent,1,Atomic,Was Represent+Measure. Same as EE.1.
272,EE.3,Find trigonometric functions of special angles,EE,Trigonometry,Recall/derive a value from a known pattern,Measure,,,Measure,1,Atomic,Was Identify+Measure. Producing the value is Measure.
273,EE.4,Find trigonometric functions using a calculator,EE,Trigonometry,Quantify a ratio for a given angle,Measure,,,Measure,1,Atomic,
274,EE.5,Inverses of trigonometric functions,EE,Trigonometry,Rewrite a ratio back into an angle,Transform,,,Transform,1,Atomic,Was Transform+Measure. Inverse trig is Transform.
275,EE.6,Trigonometric ratios: find a side length,EE,Trigonometry,Use a ratio condition to recover a value,Constrain,,,Constrain,1,Atomic,Was Constrain+Measure. Same as DD.1.
276,EE.7,Trigonometric ratios: find an angle measure,EE,Trigonometry,Use a ratio condition to recover a value,Constrain,,,Constrain,1,Atomic,Was Constrain+Measure. Same as DD.1.
277,EE.8,Solve a right triangle,EE,Trigonometry,Satisfy all relations to recover every part,Constrain,,,Constrain,1,Atomic,Was Constrain+Measure. Same as DD.1.
278,FF.1,Translations: graph the image,FF,Transformations,Map a figure to its image under an operation,Transform,Represent,,Transform -> Represent,2,Composed,
279,FF.2,Translations: find the coordinates,FF,Transformations,Map points to images under an operation,Transform,,,Transform,1,Atomic,
280,FF.3,Translations: write the rule,FF,Transformations,Infer the general operation from cases,Generalize,,,Generalize,1,Atomic,Was Generalize+Transform. Inferring the rule is the whole act.
281,FF.4,Reflections: graph the image,FF,Transformations,Map a figure to its image under an operation,Transform,Represent,,Transform -> Represent,2,Composed,
282,FF.5,Reflections: find the coordinates,FF,Transformations,Map points to images under an operation,Transform,,,Transform,1,Atomic,
283,FF.6,Rotate polygons about a point,FF,Transformations,Map a figure to its image under an operation,Transform,,,Transform,1,Atomic,
284,FF.7,Rotations: graph the image,FF,Transformations,Map a figure to its image under an operation,Transform,Represent,,Transform -> Represent,2,Composed,
285,FF.8,Rotations: find the coordinates,FF,Transformations,Map points to images under an operation,Transform,,,Transform,1,Atomic,
286,FF.9,Classify congruence transformations,FF,Transformations,Assign an operation to a category,Identify,,,Identify,1,Atomic,
287,FF.10,Compositions of congruence transformations: graph the image,FF,Transformations,Chain operations into a single combined one,Compose,Transform,Represent,Compose -> Transform -> Represent,3,Composed,Was Compose+Transform. Cap hid the graphing step.
288,FF.11,Transformations that carry a polygon onto itself,FF,Transformations,Find operations satisfying an invariance condition,Constrain,,,Constrain,1,Atomic,
289,FF.12,Congruence transformations: mixed review,FF,Transformations,Map a figure to its image under an operation,Transform,,,Transform,1,Atomic,
290,FF.13,Dilations: graph the image,FF,Transformations,Map a figure to its image under an operation,Transform,Represent,,Transform -> Represent,2,Composed,
291,FF.14,Dilations: find the coordinates,FF,Transformations,Map points to images under an operation,Transform,,,Transform,1,Atomic,
292,FF.15,Dilations: scale factor and classification,FF,Transformations,"Quantify the factor, then categorize",Measure,Identify,,Measure -> Identify,2,Composed,"Was Measure+Identify, kept, order made explicit."
293,FF.16,Dilations and parallel lines,FF,Transformations,Test which properties an operation preserves,Verify,,,Verify,1,Atomic,Was Verify+Transform. Testing preservation is Verify.
294,GG.1,Theoretical and experimental probability,GG,Probability,Quantify likelihood and compare two estimates,Measure,Compare,,Measure -> Compare,2,Composed,"Was Measure+Compare, kept."
295,GG.2,Compound events: find the number of outcomes,GG,Probability,Build a combined outcome set and count it,Compose,Measure,,Compose -> Measure,2,Composed,"Was Compose+Measure, kept."
296,GG.3,Independent and dependent events,GG,Probability,"Categorize a relationship, then quantify",Identify,,,Identify,1,Atomic,Was Identify+Measure. Categorising the relationship is Identify.
297,GG.4,Factorials,GG,Probability,Rewrite a notation into a numeric value,Transform,,,Transform,1,Atomic,
298,GG.5,Permutations,GG,Probability,Count arrangements built from parts,Compose,Measure,,Compose -> Measure,2,Composed,"Was Compose+Measure, kept."
299,GG.6,Counting principle,GG,Probability,Count combined possibilities from stages,Compose,Measure,,Compose -> Measure,2,Composed,"Was Compose+Measure, kept."
300,GG.7,Permutation and combination notation,GG,Probability,Match a situation to the correct notation,Represent,,,Represent,1,Atomic,Was Identify+Represent. Choosing notation is Represent.
301,GG.8,Geometric probability,GG,Probability,Quantify likelihood as a ratio of magnitudes,Measure,,,Measure,1,Atomic,
302,HH.1,"Mean, median, mode and range",HH,Statistics,Summarize a data set as a single magnitude,Measure,,,Measure,1,Atomic,
303,HH.2,Quartiles,HH,Statistics,Summarize a distribution by position,Measure,,,Measure,1,Atomic,
304,HH.3,Identify biased samples,HH,Statistics,Test a method against a validity condition,Verify,,,Verify,1,Atomic,Was Verify+Identify. Testing against a validity criterion is Verify.
305,HH.4,Mean absolute deviation,HH,Statistics,Quantify spread as a single magnitude,Measure,,,Measure,1,Atomic,
306,HH.5,Variance and standard deviation,HH,Statistics,Quantify spread as a single magnitude,Measure,,,Measure,1,Atomic,
